International plan,Voice mail plan,Account length,Total day charge,Customer service calls,Churn,State,churn_probability,predicted_churn,risk_tier
No,Yes,128,45.07,1,No,KS,0.03,No,Low
No,Yes,107,27.47,1,No,OH,0.04,No,Low
No,No,137,41.38,0,No,NJ,0.05,No,Low
Yes,No,84,50.9,2,No,OH,0.15,No,Low
Yes,No,75,28.34,3,No,OK,0.24,No,Low
Yes,No,118,37.98,0,No,AL,0.07,No,Low
No,Yes,121,37.09,3,No,MA,0.08,No,Low
Yes,No,147,26.69,0,No,MO,0.09,No,Low
Yes,Yes,141,43.96,0,No,WV,0.1,No,Low
No,No,74,31.91,0,No,RI,0.01,No,Low
No,No,168,21.9,1,No,IA,0.05,No,Low
No,No,95,26.62,3,No,MT,0.09,No,Low
No,No,62,20.52,4,No,IA,0.14,No,Low
No,Yes,85,33.39,1,No,ID,0.04,No,Low
No,No,93,32.42,3,No,VT,0.0,No,Low
No,Yes,76,32.25,1,No,VA,0.02,No,Low
No,No,73,38.15,1,No,TX,0.17,No,Low
No,No,147,26.37,0,No,FL,0.01,No,Low
No,No,77,10.61,5,Yes,CO,0.91,Yes,Critical
No,No,130,31.11,0,No,AZ,0.08,No,Low
No,No,132,13.79,0,No,VA,0.01,No,Low
No,No,174,21.13,3,No,NE,0.06,No,Low
No,Yes,57,36.21,0,No,WY,0.03,No,Low
No,No,54,22.83,3,No,MT,0.0,No,Low
No,No,20,32.3,0,No,MO,0.02,No,Low
No,No,142,14.42,2,No,IL,0.02,No,Low
No,No,75,38.44,1,No,NH,0.01,No,Low
No,No,172,36.04,3,No,LA,0.03,No,Low
No,No,12,42.43,1,Yes,AZ,0.79,Yes,Critical
No,Yes,57,30.06,0,No,OK,0.01,No,Low
No,Yes,72,37.4,3,No,GA,0.01,No,Low
No,No,78,22.24,1,No,MA,0.01,No,Low
Yes,Yes,136,34.66,3,No,AK,0.1,No,Low
No,No,149,23.87,1,No,NJ,0.04,No,Low
No,No,98,21.47,3,No,GA,0.01,No,Low
Yes,Yes,135,29.43,0,Yes,MD,0.95,Yes,Critical
No,No,34,21.22,2,No,AR,0.09,No,Low
No,No,160,14.59,3,No,ID,0.13,No,Low
No,No,64,26.18,1,No,WI,0.03,No,Low
No,Yes,59,20.55,2,No,OR,0.01,No,Low
No,No,142,31.79,2,No,DE,0.01,No,Low
No,Yes,97,22.64,1,No,WY,0.02,No,Low
No,No,52,32.62,3,No,IA,0.03,No,Low
No,No,60,37.5,1,No,IN,0.05,No,Low
No,No,96,27.23,2,No,UT,0.03,No,Low
No,No,87,25.67,5,Yes,WY,0.84,Yes,Critical
No,No,81,29.84,1,No,IN,0.03,No,Low
No,No,141,21.57,1,No,CO,0.0,No,Low
No,Yes,121,33.73,3,Yes,CO,0.64,Yes,High
No,No,125,38.98,1,No,OK,0.01,No,Low
No,No,174,32.66,1,No,ID,0.01,No,Low
No,Yes,116,45.66,2,No,CA,0.16,No,Low
No,Yes,149,30.72,3,No,SD,0.02,No,Low
No,No,38,22.3,2,No,NC,0.0,No,Low
No,Yes,40,25.18,2,No,WA,0.0,No,Low
Yes,No,43,42.76,0,No,WY,0.45,No,Medium
Yes,No,113,21.28,0,No,MN,0.11,No,Low
No,No,126,35.97,1,No,UT,0.0,No,Low
No,No,150,30.41,4,Yes,TX,0.75,Yes,Critical
No,No,138,41.11,3,No,NJ,0.02,No,Low
No,Yes,162,38.23,0,No,MN,0.03,No,Low
No,No,147,42.26,3,No,NM,0.01,No,Low
No,No,90,34.58,1,No,NV,0.02,No,Low
No,No,50,26.71,1,No,MN,0.02,No,Low
No,No,82,51.05,0,Yes,DC,0.97,Yes,Critical
No,No,144,10.47,4,Yes,NY,0.76,Yes,Critical
No,No,70,28.93,1,No,MD,0.01,No,Low
No,No,144,34.19,1,No,WV,0.09,No,Low
Yes,No,116,36.62,3,No,OR,0.08,No,Low
No,Yes,55,28.15,3,No,CO,0.0,No,Low
No,Yes,70,42.42,1,No,GA,0.04,No,Low
No,No,106,35.8,2,Yes,TX,0.67,Yes,High
No,No,94,26.84,4,Yes,IN,0.87,Yes,Critical
No,No,111,36.43,1,No,WV,0.04,No,Low
No,Yes,74,26.2,2,No,KY,0.01,No,Low
No,No,128,40.44,1,Yes,NJ,0.78,Yes,Critical
No,No,82,24.46,1,No,DC,0.04,No,Low
No,No,80,21.13,1,No,AR,0.01,No,Low
No,No,78,42.99,3,No,ME,0.06,No,Low
No,No,90,30.45,3,No,AZ,0.0,No,Low
No,No,104,47.33,1,No,AK,0.11,No,Low
No,No,99,33.69,4,No,AZ,0.07,No,Low
No,No,120,36.06,1,Yes,MS,0.06,No,Low
No,Yes,98,27.4,4,No,IA,0.05,No,Low
No,No,135,25.79,0,No,VT,0.0,No,Low
No,No,122,28.99,1,No,IN,0.0,No,Low
No,No,95,40.48,4,No,AZ,0.04,No,Low
No,Yes,93,20.04,1,No,NM,0.03,No,Low
No,No,157,39.07,3,No,UT,0.0,No,Low
No,No,120,28.05,1,No,MI,0.0,No,Low
No,No,103,31.45,2,No,MA,0.0,No,Low
No,No,98,27.37,4,No,AL,0.14,No,Low
No,No,125,21.54,1,No,DE,0.02,No,Low
Yes,Yes,36,33.46,0,Yes,ME,0.88,Yes,Critical
No,No,64,27.64,1,No,NJ,0.06,No,Low
No,No,74,48.03,1,Yes,NV,0.89,Yes,Critical
No,Yes,112,19.33,2,No,MO,0.03,No,Low
No,No,46,35.73,1,No,NE,0.02,No,Low
No,Yes,41,36.35,0,No,TX,0.0,No,Low
No,No,121,32.42,3,No,MD,0.02,No,Low
No,No,193,29.05,1,No,MS,0.0,No,Low
No,No,130,26.21,2,No,NV,0.01,No,Low
No,No,85,34.24,1,No,AZ,0.03,No,Low
No,No,162,12.02,4,Yes,MS,0.87,Yes,Critical
No,Yes,61,31.88,4,Yes,MS,0.22,No,Low
No,No,92,15.59,2,No,TX,0.12,No,Low
No,Yes,131,36.41,3,No,NE,0.03,No,Low
No,No,90,24.74,3,No,NE,0.0,No,Low
No,No,78,39.27,1,No,NJ,0.06,No,Low
No,No,82,34.05,4,No,TX,0.09,No,Low
No,No,163,33.49,1,No,AR,0.0,No,Low
Yes,No,91,22.08,3,No,AL,0.35,No,Medium
No,Yes,75,29.89,5,No,NY,0.08,No,Low
No,No,91,34.53,3,No,FL,0.0,No,Low
No,Yes,127,31.14,1,No,AK,0.05,No,Low
No,Yes,113,34.85,2,No,NV,0.01,No,Low
No,No,110,25.25,1,No,DE,0.02,No,Low
No,Yes,120,34.05,0,No,MD,0.0,No,Low
No,Yes,157,32.74,3,No,MI,0.01,No,Low
No,No,103,41.91,1,No,VT,0.33,No,Medium
Yes,No,117,28.41,2,Yes,VT,0.98,Yes,Critical
No,No,140,39.42,3,No,MI,0.01,No,Low
Yes,No,83,46.16,1,No,UT,0.21,No,Low
No,Yes,145,43.81,2,No,RI,0.06,No,Low
No,No,113,32.95,1,No,IA,0.01,No,Low
No,No,56,38.42,1,No,RI,0.04,No,Low
No,No,96,44.27,5,No,OK,0.06,No,Low
No,No,151,30.38,0,No,LA,0.03,No,Low
No,No,83,57.36,0,Yes,OH,0.93,Yes,Critical
No,Yes,139,26.79,0,No,VA,0.03,No,Low
No,Yes,115,24.16,1,No,FL,0.01,No,Low
No,No,87,23.17,0,No,SC,0.01,No,Low
No,No,141,36.91,0,No,VA,0.05,No,Low
No,Yes,141,31.88,3,No,IA,0.01,No,Low
No,No,62,16.81,1,No,MI,0.03,No,Low
No,No,146,35.07,1,No,OK,0.01,No,Low
No,Yes,92,41.33,2,No,DE,0.0,No,Low
No,Yes,185,32.27,1,No,GA,0.07,No,Low
No,No,148,34.34,1,No,DC,0.05,No,Low
No,Yes,94,28.92,1,No,AZ,0.02,No,Low
No,No,68,40.31,1,No,CO,0.11,No,Low
No,No,179,37.26,0,No,LA,0.02,No,Low
No,No,94,42.94,2,No,NE,0.01,No,Low
No,No,62,25.01,0,No,MN,0.0,No,Low
No,No,116,29.5,3,No,AR,0.05,No,Low
No,No,70,39.46,3,No,KS,0.61,Yes,High
Yes,Yes,94,33.51,4,No,WV,0.09,No,Low
No,No,126,9.89,5,Yes,AK,0.81,Yes,Critical
No,Yes,67,19.65,2,No,NY,0.0,No,Low
No,No,19,31.64,2,No,NH,0.06,No,Low
Yes,No,170,44.18,3,No,VA,0.24,No,Low
No,No,73,36.43,1,No,NM,0.05,No,Low
No,No,106,26.98,1,No,NY,0.0,No,Low
No,No,164,27.3,1,No,WY,0.01,No,Low
No,No,51,39.51,1,No,WA,0.04,No,Low
No,No,107,22.75,0,No,CO,0.0,No,Low
No,No,130,30.07,1,No,TX,0.04,No,Low
No,No,80,35.68,2,No,KY,0.01,No,Low
No,No,94,23.38,0,No,MT,0.01,No,Low
No,Yes,118,49.22,1,No,OK,0.03,No,Low
No,Yes,117,33.68,1,No,MD,0.01,No,Low
No,No,78,25.45,0,No,TN,0.0,No,Low
