customerID,Contract,PaymentMethod,tenure,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,Churn,churn_probability,predicted_churn,risk_tier
7590-VHVEG,Month-to-month,Electronic check,1,DSL,No,No,29.85,No,0.3,No,Medium
5575-GNVDE,One year,Mailed check,34,DSL,Yes,No,56.95,No,0.0,No,Low
3668-QPYBK,Month-to-month,Mailed check,2,DSL,Yes,No,53.85,Yes,0.78,Yes,Critical
7795-CFOCW,One year,Bank transfer (automatic),45,DSL,Yes,Yes,42.3,No,0.0,No,Low
9237-HQITU,Month-to-month,Electronic check,2,Fiber optic,No,No,70.7,Yes,0.77,Yes,Critical
9305-CDSKC,Month-to-month,Electronic check,8,Fiber optic,No,No,99.65,Yes,0.98,Yes,Critical
1452-KIOVK,Month-to-month,Credit card (automatic),22,Fiber optic,No,No,89.1,No,0.55,Yes,High
6713-OKOMC,Month-to-month,Mailed check,10,DSL,Yes,No,29.75,No,0.06,No,Low
7892-POOKP,Month-to-month,Electronic check,28,Fiber optic,No,Yes,104.8,Yes,0.92,Yes,Critical
6388-TABGU,One year,Bank transfer (automatic),62,DSL,Yes,No,56.15,No,0.01,No,Low
9763-GRSKD,Month-to-month,Mailed check,13,DSL,Yes,No,49.95,No,0.02,No,Low
7469-LKBCI,Two year,Credit card (automatic),16,No,No internet service,No internet service,18.95,No,0.0,No,Low
8091-TTVAX,One year,Credit card (automatic),58,Fiber optic,No,No,100.35,No,0.11,No,Low
0280-XJGEX,Month-to-month,Bank transfer (automatic),49,Fiber optic,No,No,103.7,Yes,0.85,Yes,Critical
5129-JLPIS,Month-to-month,Electronic check,25,Fiber optic,Yes,Yes,105.5,No,0.42,No,Medium
3655-SNQYZ,Two year,Credit card (automatic),69,Fiber optic,Yes,Yes,113.25,No,0.01,No,Low
8191-XWSZG,One year,Mailed check,52,No,No internet service,No internet service,20.65,No,0.0,No,Low
9959-WOFKT,Two year,Bank transfer (automatic),71,Fiber optic,Yes,No,106.7,No,0.04,No,Low
